Worker ID,UPDATE-Completed the survey
A129DU6FOHUVNO,1
ABVP1XX3ZOMKL,1
A2TYKD6ON6RW6P,1
AAZGK35IQ4VFM,1
A2D74QPANDB2I7,1
ARMUHYECKRLKE,1
A1NZRYBCI8UMV7,1
A7P2JB0HF9AXN,1
ADC4VXNQJ9FEW,1
A1BI34TAR8H9R0,1
A25SH3L1UR6Y1Z,1
A1NSI1TRI41OFV,1
AA7ES0EMRWOG0,1
A1DKWZQE9XEMKC,1
A28LMBOMBHXM7K,1
A11MV3BOMD8WNK,1
A3SD4Z832DJI3E,1
A2BCW92PAXTVJJ,1
A25EV7W6NCIWWJ,1
A2Z76LSWWKFZJJ,1
A2MZA3NO4ECYAX,1
A36YNCAC1EN8AN,1
A2UD78PHN68Y7W,1
A1Z2QXR9Z5JVUD,1
A385G821ND1TX2,1
A2RKUDGK5PQ44X,1
A2U1F8KQ6ZTAYI,1
A382Z0B2X0C4Z,1
A13Q5DNNL0XKZG,1
AAFO1YP45EXAE,1
A2NFSLZ743580G,1
A2V9G1RAJ1CVOU,1
A3Q45FR4WZRQFG,1
ALWC0088GCMJL,1
A2WQOPD3IYLITQ,1
AYAKKXN9Z3FD5,1
A1H2C1OOQ7HLEJ,1
A84BZJ0HK981A,1
A21DQ7TVS9TY9A,1
A2OZOWPYLB094C,1
ALZCIZPZ5W444,1
A11ZL8DT13UGRN,1
A29DYDFE5PFK9M,1
A2LCRHTK0WQEOM,1
A2ULC5812GIJF2,1
A238XQL9HTRUTB,1
A2AUJ4PJ54W6NA,1
A3UPU26JVXDB5H,1
AZ0KS5UTO3EJ2,1
A2GPRO1U6EX1PM,1
A4O2DEV2UL33D,1
A2HVVC6BZT822W,1
A32UG2P47Y7M1A,1
A20F1SLHKHBUT3,1
A1W8CQNRFIY18O,1
A364IJXBS6NLCG,1
A4O2DEV2UL33D,1
A3DW70C8KQRYZW,1
A1K4316FED9WLI,1
A2Z9NNU4F9V8JZ,1
A2PW31C97QKXUI,1
A18H3EK547GHD4,1
A627M0GDSGX4S,1
ARP7QDYFCRR7Z,1
A2QW4UVJNP3Y62,1
A2USO45L3LPR5H,1
A2XB0V04G7MKR3,1
A3Z1073SHNSPX,1
A1WNYJPB6AEUPP,1
A2QW4UVJNP3Y62,1
A3PTU4H195ZLRC,1
A2E91NTATRS122,1
A2VYNHX1UZRF9I,1
AVCIB2PL3TPKQ,1
AWQSOTHK084A0,1
A1VAQ5JJAOQ4DE,1
AFGV1LF43T4FT,1
AO9269A41IT6L,1
A3MG7A2P97R6DM,1
AKI2Q5M78PF2,1
A33KRFO0OM4AZO,1
A1T617G7H93ABZ,1
