Batch,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,AssignmentStatus,WorkerId,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
1a,3QMELQS6ZCSYVPSN2Q70ISFZL166RL,379YH0H8TSAWA5LUDC9WPG6IX33SZN,Italian sentences,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$4.00,Thu Feb 23 03:06:44 PST 2023,5,BatchId:5017847;OriginalHitTemplateId:920937340;,1200,172800,Thu Mar 02 03:06:44 PST 2023,,,3I0BTBYZA52F1ZGO4YOE57UUJGKY0G,Approved,A129DU6FOHUVNO,Thu Feb 23 03:06:56 PST 2023,Thu Feb 23 03:24:57 PST 2023,Sat Feb 25 03:24:57 PST 2023,Thu Feb 23 20:34:20 PST 2023,,,1081,100% (1/1),100% (1/1),0% (0/0),673645,,
1a,3QMELQS6ZCSYVPSN2Q70ISFZL166RL,379YH0H8TSAWA5LUDC9WPG6IX33SZN,Italian sentences,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$4.00,Thu Feb 23 03:06:44 PST 2023,5,BatchId:5017847;OriginalHitTemplateId:920937340;,1200,172800,Thu Mar 02 03:06:44 PST 2023,,,3PJUZCGDJEXIINDJRQ9DZ57LT6C89R,Approved,ABVP1XX3ZOMKL,Thu Feb 23 03:08:27 PST 2023,Thu Feb 23 03:26:55 PST 2023,Sat Feb 25 03:26:55 PST 2023,Thu Feb 23 20:34:20 PST 2023,,,1108,100% (1/1),100% (1/1),0% (0/0),673645,,
1a,3QMELQS6ZCSYVPSN2Q70ISFZL166RL,379YH0H8TSAWA5LUDC9WPG6IX33SZN,Italian sentences,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$4.00,Thu Feb 23 03:06:44 PST 2023,5,BatchId:5017847;OriginalHitTemplateId:920937340;,1200,172800,Thu Mar 02 03:06:44 PST 2023,,,3VP0C6EFSODALTDPNKGKKDHENAT6M2,Approved,A2TYKD6ON6RW6P,Thu Feb 23 03:11:14 PST 2023,Thu Feb 23 03:25:11 PST 2023,Sat Feb 25 03:25:11 PST 2023,Thu Feb 23 20:34:20 PST 2023,,,837,100% (1/1),100% (1/1),0% (0/0),673645,,
1a,3QMELQS6ZCSYVPSN2Q70ISFZL166RL,379YH0H8TSAWA5LUDC9WPG6IX33SZN,Italian sentences,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$4.00,Thu Feb 23 03:06:44 PST 2023,5,BatchId:5017847;OriginalHitTemplateId:920937340;,1200,172800,Thu Mar 02 03:06:44 PST 2023,,,3ZPBJO59KXINEORT6A8LYEJANALDHW,Approved,AAZGK35IQ4VFM,Thu Feb 23 03:28:30 PST 2023,Thu Feb 23 03:47:23 PST 2023,Sat Feb 25 03:47:23 PST 2023,Thu Feb 23 20:34:20 PST 2023,,,1133,100% (1/1),100% (1/1),0% (0/0),673645,,
1a,3QMELQS6ZCSYVPSN2Q70ISFZL166RL,379YH0H8TSAWA5LUDC9WPG6IX33SZN,Italian sentences,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$4.00,Thu Feb 23 03:06:44 PST 2023,5,BatchId:5017847;OriginalHitTemplateId:920937340;,1200,172800,Thu Mar 02 03:06:44 PST 2023,,,3ZY8KE4ISRKMLYQIGLV9DEHIE4HVQ5,Approved,A2D74QPANDB2I7,Thu Feb 23 03:38:14 PST 2023,Thu Feb 23 03:54:18 PST 2023,Sat Feb 25 03:54:18 PST 2023,Thu Feb 23 20:34:20 PST 2023,,,964,100% (1/1),100% (1/1),0% (0/0),673645,,
1a,3VW0145YM5TJM4U2H1585XQU2Z9JMT,3BRS3IGD6NDONECISVK9DI05Q52RTM,Italian sentences,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 13 08:25:07 PDT 2023,5,BatchId:5032094;OriginalHitTemplateId:920937340;,1800,86400,Mon Mar 20 08:25:07 PDT 2023,,,37UQDCYH65CCFGL3KMM3DN0NCBLV70,Approved,ARMUHYECKRLKE,Mon Mar 13 09:02:32 PDT 2023,Mon Mar 13 09:18:36 PDT 2023,Tue Mar 14 09:18:36 PDT 2023,,,,964,0% (0/0),0% (0/0),0% (0/0),673645,,
1a,3VW0145YM5TJM4U2H1585XQU2Z9JMT,3BRS3IGD6NDONECISVK9DI05Q52RTM,Italian sentences,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 13 08:25:07 PDT 2023,5,BatchId:5032094;OriginalHitTemplateId:920937340;,1800,86400,Mon Mar 20 08:25:07 PDT 2023,,,3M68NM076PO1I9QHSSC16CBOWUFR6V,Approved,A1NZRYBCI8UMV7,Mon Mar 13 08:25:51 PDT 2023,Mon Mar 13 08:35:55 PDT 2023,Tue Mar 14 08:35:55 PDT 2023,,,,604,0% (0/0),0% (0/0),0% (0/0),673645,,
1a,3VW0145YM5TJM4U2H1585XQU2Z9JMT,3BRS3IGD6NDONECISVK9DI05Q52RTM,Italian sentences,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 13 08:25:07 PDT 2023,5,BatchId:5032094;OriginalHitTemplateId:920937340;,1800,86400,Mon Mar 20 08:25:07 PDT 2023,,,3WR9XG3T6BSDL32O0QLG4X0AZRG47P,Approved,A7P2JB0HF9AXN,Mon Mar 13 08:26:48 PDT 2023,Mon Mar 13 08:36:18 PDT 2023,Tue Mar 14 08:36:18 PDT 2023,,,,570,0% (0/0),0% (0/0),0% (0/0),673645,,
1a,3VW0145YM5TJM4U2H1585XQU2Z9JMT,3BRS3IGD6NDONECISVK9DI05Q52RTM,Italian sentences,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 13 08:25:07 PDT 2023,5,BatchId:5032094;OriginalHitTemplateId:920937340;,1800,86400,Mon Mar 20 08:25:07 PDT 2023,,,3X3OR7WPZ7HDJPESGNC34EYGWXH8L9,Approved,ADC4VXNQJ9FEW,Mon Mar 13 08:25:56 PDT 2023,Mon Mar 13 08:51:04 PDT 2023,Tue Mar 14 08:51:04 PDT 2023,,,,1508,100% (1/1),100% (1/1),0% (0/0),673645,,
1a,3VW0145YM5TJM4U2H1585XQU2Z9JMT,3BRS3IGD6NDONECISVK9DI05Q52RTM,Italian sentences,A short survey to judge some sentences in Italian.,"survey, Italian, demographics, likert scale, linguistics",$5.00,Mon Mar 13 08:25:07 PDT 2023,5,BatchId:5032094;OriginalHitTemplateId:920937340;,1800,86400,Mon Mar 20 08:25:07 PDT 2023,,,3ZGVPD4G61YGMYNKYME73P51PJKTZC,Approved,A2TYKD6ON6RW6P,Mon Mar 13 09:12:25 PDT 2023,Mon Mar 13 09:27:54 PDT 2023,Tue Mar 14 09:27:54 PDT 2023,,,,929,100% (1/1),100% (1/1),0% (0/0),673645,,
