"","Item","Part","Quest","Gender","Edu","Time","Score","ITEM_ID","SENT_ID","SENTENCE","CONDITION","TARGET_WORD","SENT_COND"
"1","SR1a_01",4,"SR1a","male","Baccalauréat",471,7,1,1,"Olivia avait acheté un berger allemand. Le chien était imprévisible et violent. Il a mordu sa main.","PLAUS_NOCONN","mordu","SC1"
"2","SR1a_01",1,"SR1a","male","Baccalauréat",1260,6,1,1,"Olivia avait acheté un berger allemand. Le chien était imprévisible et violent. Il a mordu sa main.","PLAUS_NOCONN","mordu","SC1"
"3","SR1a_01",5,"SR1a","male","Maîtrise",672,6,1,1,"Olivia avait acheté un berger allemand. Le chien était imprévisible et violent. Il a mordu sa main.","PLAUS_NOCONN","mordu","SC1"
"4","SR1a_01",3,"SR1a","male","Doctorat",730,7,1,1,"Olivia avait acheté un berger allemand. Le chien était imprévisible et violent. Il a mordu sa main.","PLAUS_NOCONN","mordu","SC1"
"5","SR1a_01",2,"SR1a","female","Diplôme_trois",1213,6,1,1,"Olivia avait acheté un berger allemand. Le chien était imprévisible et violent. Il a mordu sa main.","PLAUS_NOCONN","mordu","SC1"
"6","SR1a_02",3,"SR1a","male","Doctorat",730,4,2,6,"Claudio s'était dépêché de retourner au restaurant. Dieu merci, il a trouvé son portefeuille sous la table. Il s'est senti incroyablement tendu toute la journée.","IMPLAUS_NOCONN","tendu","SC2"
"7","SR1a_02",5,"SR1a","male","Maîtrise",672,5,2,6,"Claudio s'était dépêché de retourner au restaurant. Dieu merci, il a trouvé son portefeuille sous la table. Il s'est senti incroyablement tendu toute la journée.","IMPLAUS_NOCONN","tendu","SC2"
"8","SR1a_02",4,"SR1a","male","Baccalauréat",471,2,2,6,"Claudio s'était dépêché de retourner au restaurant. Dieu merci, il a trouvé son portefeuille sous la table. Il s'est senti incroyablement tendu toute la journée.","IMPLAUS_NOCONN","tendu","SC2"
"9","SR1a_02",1,"SR1a","male","Baccalauréat",1260,3,2,6,"Claudio s'était dépêché de retourner au restaurant. Dieu merci, il a trouvé son portefeuille sous la table. Il s'est senti incroyablement tendu toute la journée.","IMPLAUS_NOCONN","tendu","SC2"
"10","SR1a_02",2,"SR1a","female","Diplôme_trois",1213,5,2,6,"Claudio s'était dépêché de retourner au restaurant. Dieu merci, il a trouvé son portefeuille sous la table. Il s'est senti incroyablement tendu toute la journée.","IMPLAUS_NOCONN","tendu","SC2"
"11","SR1a_03",4,"SR1a","male","Baccalauréat",471,1,3,11,"Carlotta a poussé le caddie sur les nids de poule. Les œufs ont été jetés dans le sac. Cependant, ils se sont cassés dans leur carton.","IMPLAUS_CONN","cassés","SC3"
"12","SR1a_03",3,"SR1a","male","Doctorat",730,3,3,11,"Carlotta a poussé le caddie sur les nids de poule. Les œufs ont été jetés dans le sac. Cependant, ils se sont cassés dans leur carton.","IMPLAUS_CONN","cassés","SC3"
"13","SR1a_03",1,"SR1a","male","Baccalauréat",1260,5,3,11,"Carlotta a poussé le caddie sur les nids de poule. Les œufs ont été jetés dans le sac. Cependant, ils se sont cassés dans leur carton.","IMPLAUS_CONN","cassés","SC3"
"14","SR1a_03",2,"SR1a","female","Diplôme_trois",1213,1,3,11,"Carlotta a poussé le caddie sur les nids de poule. Les œufs ont été jetés dans le sac. Cependant, ils se sont cassés dans leur carton.","IMPLAUS_CONN","cassés","SC3"
"15","SR1a_03",5,"SR1a","male","Maîtrise",672,3,3,11,"Carlotta a poussé le caddie sur les nids de poule. Les œufs ont été jetés dans le sac. Cependant, ils se sont cassés dans leur carton.","IMPLAUS_CONN","cassés","SC3"
"16","SR1a_04",3,"SR1a","male","Doctorat",730,6,4,16,"La journée avait été plutôt nuageuse. Soudain, le soleil est apparu. Cependant, Sheila a sorti son parapluie de son sac.","PLAUS_CONN","parapluie","SC4"
"17","SR1a_04",2,"SR1a","female","Diplôme_trois",1213,5,4,16,"La journée avait été plutôt nuageuse. Soudain, le soleil est apparu. Cependant, Sheila a sorti son parapluie de son sac.","PLAUS_CONN","parapluie","SC4"
"18","SR1a_04",5,"SR1a","male","Maîtrise",672,1,4,16,"La journée avait été plutôt nuageuse. Soudain, le soleil est apparu. Cependant, Sheila a sorti son parapluie de son sac.","PLAUS_CONN","parapluie","SC4"
"19","SR1a_04",4,"SR1a","male","Baccalauréat",471,6,4,16,"La journée avait été plutôt nuageuse. Soudain, le soleil est apparu. Cependant, Sheila a sorti son parapluie de son sac.","PLAUS_CONN","parapluie","SC4"
"20","SR1a_04",1,"SR1a","male","Baccalauréat",1260,3,4,16,"La journée avait été plutôt nuageuse. Soudain, le soleil est apparu. Cependant, Sheila a sorti son parapluie de son sac.","PLAUS_CONN","parapluie","SC4"
"21","SR1a_05",4,"SR1a","male","Baccalauréat",471,7,5,17,"William était à la maison. Il avait complètement oublié de nourrir le chat. Le chat avait faim à la fin de la semaine.","PLAUS_NOCONN","faim","SC1"
"22","SR1a_05",1,"SR1a","male","Baccalauréat",1260,6,5,17,"William était à la maison. Il avait complètement oublié de nourrir le chat. Le chat avait faim à la fin de la semaine.","PLAUS_NOCONN","faim","SC1"
"23","SR1a_05",2,"SR1a","female","Diplôme_trois",1213,6,5,17,"William était à la maison. Il avait complètement oublié de nourrir le chat. Le chat avait faim à la fin de la semaine.","PLAUS_NOCONN","faim","SC1"
"24","SR1a_05",3,"SR1a","male","Doctorat",730,7,5,17,"William était à la maison. Il avait complètement oublié de nourrir le chat. Le chat avait faim à la fin de la semaine.","PLAUS_NOCONN","faim","SC1"
"25","SR1a_05",5,"SR1a","male","Maîtrise",672,7,5,17,"William était à la maison. Il avait complètement oublié de nourrir le chat. Le chat avait faim à la fin de la semaine.","PLAUS_NOCONN","faim","SC1"
"26","SR1a_06",3,"SR1a","male","Doctorat",730,2,6,22,"La femme aveugle avait été opérée. Le médecin a été très déçu par les résultats. Sa vue s'est améliorée le jour suivant.","IMPLAUS_NOCONN","améliorée","SC2"
"27","SR1a_06",5,"SR1a","male","Maîtrise",672,2,6,22,"La femme aveugle avait été opérée. Le médecin a été très déçu par les résultats. Sa vue s'est améliorée le jour suivant.","IMPLAUS_NOCONN","améliorée","SC2"
"28","SR1a_06",1,"SR1a","male","Baccalauréat",1260,3,6,22,"La femme aveugle avait été opérée. Le médecin a été très déçu par les résultats. Sa vue s'est améliorée le jour suivant.","IMPLAUS_NOCONN","améliorée","SC2"
"29","SR1a_06",4,"SR1a","male","Baccalauréat",471,3,6,22,"La femme aveugle avait été opérée. Le médecin a été très déçu par les résultats. Sa vue s'est améliorée le jour suivant.","IMPLAUS_NOCONN","améliorée","SC2"
"30","SR1a_06",2,"SR1a","female","Diplôme_trois",1213,2,6,22,"La femme aveugle avait été opérée. Le médecin a été très déçu par les résultats. Sa vue s'est améliorée le jour suivant.","IMPLAUS_NOCONN","améliorée","SC2"
"31","SR1a_07",2,"SR1a","female","Diplôme_trois",1213,2,7,27,"Le chien courait dans une rue animée. La voiture roulait vite et l'a percuté. Cependant, le chien a été gravement blessé ce jour-là.","IMPLAUS_CONN","blessé","SC3"
"32","SR1a_07",1,"SR1a","male","Baccalauréat",1260,4,7,27,"Le chien courait dans une rue animée. La voiture roulait vite et l'a percuté. Cependant, le chien a été gravement blessé ce jour-là.","IMPLAUS_CONN","blessé","SC3"
"33","SR1a_07",5,"SR1a","male","Maîtrise",672,2,7,27,"Le chien courait dans une rue animée. La voiture roulait vite et l'a percuté. Cependant, le chien a été gravement blessé ce jour-là.","IMPLAUS_CONN","blessé","SC3"
"34","SR1a_07",3,"SR1a","male","Doctorat",730,2,7,27,"Le chien courait dans une rue animée. La voiture roulait vite et l'a percuté. Cependant, le chien a été gravement blessé ce jour-là.","IMPLAUS_CONN","blessé","SC3"
"35","SR1a_07",4,"SR1a","male","Baccalauréat",471,5,7,27,"Le chien courait dans une rue animée. La voiture roulait vite et l'a percuté. Cependant, le chien a été gravement blessé ce jour-là.","IMPLAUS_CONN","blessé","SC3"
"36","SR1a_08",1,"SR1a","male","Baccalauréat",1260,3,8,32,"Elisabeth a passé un examen d'histoire lundi. Elle a passé le test et l'a raté. Cependant, elle est rentrée chez elle et a fait la fête toute la soirée.","PLAUS_CONN","fêté","SC4"
"37","SR1a_08",3,"SR1a","male","Doctorat",730,6,8,32,"Elisabeth a passé un examen d'histoire lundi. Elle a passé le test et l'a raté. Cependant, elle est rentrée chez elle et a fait la fête toute la soirée.","PLAUS_CONN","fêté","SC4"
"38","SR1a_08",4,"SR1a","male","Baccalauréat",471,3,8,32,"Elisabeth a passé un examen d'histoire lundi. Elle a passé le test et l'a raté. Cependant, elle est rentrée chez elle et a fait la fête toute la soirée.","PLAUS_CONN","fêté","SC4"
"39","SR1a_08",2,"SR1a","female","Diplôme_trois",1213,5,8,32,"Elisabeth a passé un examen d'histoire lundi. Elle a passé le test et l'a raté. Cependant, elle est rentrée chez elle et a fait la fête toute la soirée.","PLAUS_CONN","fêté","SC4"
"40","SR1a_08",5,"SR1a","male","Maîtrise",672,2,8,32,"Elisabeth a passé un examen d'histoire lundi. Elle a passé le test et l'a raté. Cependant, elle est rentrée chez elle et a fait la fête toute la soirée.","PLAUS_CONN","fêté","SC4"
"41","SR1a_09",4,"SR1a","male","Baccalauréat",471,7,9,33,"La star de Broadway a eu un solo dans la comédie musicale. Elle a chanté le morceau magnifiquement. Le public a applaudi très vigoureusement.","PLAUS_NOCONN","applaudi","SC1"
"42","SR1a_09",1,"SR1a","male","Baccalauréat",1260,7,9,33,"La star de Broadway a eu un solo dans la comédie musicale. Elle a chanté le morceau magnifiquement. Le public a applaudi très vigoureusement.","PLAUS_NOCONN","applaudi","SC1"
"43","SR1a_09",2,"SR1a","female","Diplôme_trois",1213,7,9,33,"La star de Broadway a eu un solo dans la comédie musicale. Elle a chanté le morceau magnifiquement. Le public a applaudi très vigoureusement.","PLAUS_NOCONN","applaudi","SC1"
"44","SR1a_09",5,"SR1a","male","Maîtrise",672,7,9,33,"La star de Broadway a eu un solo dans la comédie musicale. Elle a chanté le morceau magnifiquement. Le public a applaudi très vigoureusement.","PLAUS_NOCONN","applaudi","SC1"
